images,values
images/000000.png,4.526
images/000001.png,3.585
images/000002.png,3.521
images/000003.png,3.413
images/000004.png,3.422
images/000005.png,2.697
images/000006.png,2.992
images/000007.png,2.414
images/000008.png,2.267
images/000009.png,2.611
images/000010.png,2.815
images/000011.png,2.418
images/000012.png,2.135
images/000013.png,1.913
images/000014.png,1.592
images/000015.png,1.4
images/000016.png,1.525
images/000017.png,1.555
images/000018.png,1.587
images/000019.png,1.629
images/000020.png,1.475
images/000021.png,1.598
images/000022.png,1.139
images/000023.png,0.997
images/000024.png,1.326
images/000025.png,1.075
images/000026.png,0.938
images/000027.png,1.055
images/000028.png,1.089
images/000029.png,1.32
images/000030.png,1.223
images/000031.png,1.152
images/000032.png,1.104
images/000033.png,1.049
images/000034.png,1.097
images/000035.png,0.972
images/000036.png,1.045
images/000037.png,1.039
images/000038.png,1.914
images/000039.png,1.76
images/000040.png,1.554
images/000041.png,1.5
images/000042.png,1.188
images/000043.png,1.888
images/000044.png,1.844
images/000045.png,1.823
images/000046.png,1.425
images/000047.png,1.375
images/000048.png,1.875
images/000049.png,1.125
images/000050.png,1.719
images/000051.png,0.938
images/000052.png,0.975
images/000053.png,1.042
images/000054.png,0.875
images/000055.png,0.831
images/000056.png,0.875
images/000057.png,0.853
images/000058.png,0.803
images/000059.png,0.6
images/000060.png,0.757
images/000061.png,0.75
images/000062.png,0.861
images/000063.png,0.761
images/000064.png,0.735
images/000065.png,0.784
images/000066.png,0.844
images/000067.png,0.813
images/000068.png,0.85
images/000069.png,1.292
images/000070.png,0.825
images/000071.png,0.952
images/000072.png,0.75
images/000073.png,0.675
images/000074.png,1.375
images/000075.png,1.775
images/000076.png,1.021
images/000077.png,1.083
images/000078.png,1.125
images/000079.png,1.313
images/000080.png,1.625
images/000081.png,1.125
images/000082.png,1.125
images/000083.png,1.375
images/000084.png,1.188
images/000085.png,0.982
images/000086.png,1.188
images/000087.png,1.625
images/000088.png,1.375
images/000089.png,5.00001
images/000090.png,1.625
images/000091.png,1.375
images/000092.png,1.625
images/000093.png,1.875
images/000094.png,1.792
images/000095.png,1.3
images/000096.png,1.838
images/000097.png,1.25
images/000098.png,1.7
images/000099.png,1.931
images/000100.png,2.578
images/000101.png,2.734
images/000102.png,2.375
images/000103.png,3.5
images/000104.png,3.357
images/000105.png,3.134
images/000106.png,2.685
images/000107.png,2.594
images/000108.png,2.757
images/000109.png,2.25
images/000110.png,2.625
images/000111.png,2.185
images/000112.png,2.55
images/000113.png,2.241
images/000114.png,2.431
images/000115.png,2.316
images/000116.png,2.185
images/000117.png,2.341
images/000118.png,3.276
images/000119.png,3.476
images/000120.png,3.661
images/000121.png,3.35
images/000122.png,3.736
images/000123.png,3.895
images/000124.png,3.911
images/000125.png,3.373
images/000126.png,2.952
images/000127.png,2.923
images/000128.png,4.115
images/000129.png,3.115
images/000130.png,3.259
images/000131.png,3.926
images/000132.png,3.193
images/000133.png,3.333
images/000134.png,3.352
images/000135.png,3.512
images/000136.png,3.689
images/000137.png,3.659
images/000138.png,3.667
images/000139.png,3.628
images/000140.png,4.833
images/000141.png,3.314
images/000142.png,3.235
images/000143.png,2.167
images/000144.png,2.331
images/000145.png,2.964
images/000146.png,2.737
images/000147.png,2.277
images/000148.png,1.996
images/000149.png,2.398
images/000150.png,2.701
images/000151.png,3.021
images/000152.png,2.695
images/000153.png,3.147
images/000154.png,3.901
images/000155.png,4.103
images/000156.png,3.524
images/000157.png,2.873
images/000158.png,3.487
images/000159.png,2.438
images/000160.png,2.115
images/000161.png,2.184
images/000162.png,2.699
images/000163.png,2.188
images/000164.png,2.25
images/000165.png,2.5
images/000166.png,1.714
images/000167.png,1.938
images/000168.png,1.25
images/000169.png,0.975
images/000170.png,1.25
images/000171.png,1.388
images/000172.png,1.167
images/000173.png,1.518
images/000174.png,1.27
images/000175.png,1.286
images/000176.png,1.406
images/000177.png,1.827
images/000178.png,1.469
images/000179.png,1.228
images/000180.png,1.693
images/000181.png,1.266
images/000182.png,1.279
images/000183.png,1.235
images/000184.png,1.119
images/000185.png,1.128
images/000186.png,1.079
images/000187.png,1.375
images/000188.png,1.055
images/000189.png,0.955
images/000190.png,1.161
images/000191.png,1.122
images/000192.png,0.75
images/000193.png,1.125
images/000194.png,1.25
images/000195.png,1.15
images/000196.png,0.95
images/000197.png,0.964
images/000198.png,0.72
images/000199.png,0.713
images/000200.png,0.808
images/000201.png,1.288
images/000202.png,1.125
images/000203.png,1.194
images/000204.png,1.181
images/000205.png,1.225
images/000206.png,1.063
images/000207.png,1.325
images/000208.png,1.227
images/000209.png,1.133
images/000210.png,1.095
images/000211.png,1.647
images/000212.png,1.25
images/000213.png,1.247
images/000214.png,1.367
images/000215.png,1.417
images/000216.png,1.5
images/000217.png,1.388
images/000218.png,1.392
images/000219.png,1.438
images/000220.png,1.565
images/000221.png,1.51
images/000222.png,2.73
images/000223.png,2.171
images/000224.png,1.871
images/000225.png,2.396
images/000226.png,2.297
images/000227.png,2.573
images/000228.png,2.469
images/000229.png,1.799
images/000230.png,1.696
images/000231.png,2.033
images/000232.png,2.634
images/000233.png,2.318
images/000234.png,1.405
images/000235.png,1.26
images/000236.png,1.22
images/000237.png,1.347
images/000238.png,1.394
images/000239.png,1.154
images/000240.png,1.373
images/000241.png,1.37
images/000242.png,1.426
images/000243.png,1.375
images/000244.png,1.117
images/000245.png,1.268
images/000246.png,1.113
images/000247.png,1.148
images/000248.png,1.023
images/000249.png,1.319
images/000250.png,1.191
images/000251.png,0.806
images/000252.png,0.806
images/000253.png,0.888
images/000254.png,1.024
images/000255.png,0.987
images/000256.png,1.0
images/000257.png,0.923
images/000258.png,0.948
images/000259.png,1.02
images/000260.png,1.584
images/000261.png,1.216
images/000262.png,1.291
images/000263.png,1.214
images/000264.png,1.028
images/000265.png,1.6
images/000266.png,1.439
images/000267.png,1.512
images/000268.png,1.644
images/000269.png,1.565
images/000270.png,2.25
images/000271.png,1.742
images/000272.png,1.669
images/000273.png,1.635
images/000274.png,2.53
images/000275.png,2.407
images/000276.png,2.081
images/000277.png,1.981
images/000278.png,1.728
images/000279.png,3.367
images/000280.png,3.182
images/000281.png,2.858
images/000282.png,2.93
images/000283.png,3.71
images/000284.png,1.573
images/000285.png,1.353
images/000286.png,1.367
images/000287.png,1.607
images/000288.png,1.406
images/000289.png,1.44
images/000290.png,1.619
images/000291.png,1.563
images/000292.png,1.76
images/000293.png,1.458
images/000294.png,1.419
images/000295.png,0.907
images/000296.png,0.906
images/000297.png,1.079
images/000298.png,1.07
images/000299.png,0.982
images/000300.png,0.895
images/000301.png,0.938
images/000302.png,0.967
images/000303.png,0.975
images/000304.png,0.973
images/000305.png,0.912
images/000306.png,0.914
images/000307.png,0.962
images/000308.png,1.201
images/000309.png,1.0
images/000310.png,0.947
images/000311.png,0.857
images/000312.png,0.893
images/000313.png,1.014
images/000314.png,0.725
images/000315.png,0.741
images/000316.png,0.7
images/000317.png,0.846
images/000318.png,0.818
images/000319.png,0.814
images/000320.png,0.818
images/000321.png,0.858
images/000322.png,0.871
images/000323.png,0.835
images/000324.png,0.797
images/000325.png,0.834
images/000326.png,0.847
images/000327.png,0.8
images/000328.png,0.764
images/000329.png,0.797
images/000330.png,0.824
images/000331.png,0.977
images/000332.png,0.972
images/000333.png,1.016
images/000334.png,0.865
images/000335.png,0.905
images/000336.png,1.076
images/000337.png,0.842
images/000338.png,0.889
images/000339.png,0.807
images/000340.png,0.871
images/000341.png,0.851
images/000342.png,0.82
images/000343.png,0.828
images/000344.png,0.846
images/000345.png,0.821
images/000346.png,0.893
images/000347.png,0.983
images/000348.png,0.923
images/000349.png,0.888
images/000350.png,0.9
images/000351.png,0.955
images/000352.png,0.917
images/000353.png,1.004
images/000354.png,0.948
images/000355.png,1.643
images/000356.png,1.555
images/000357.png,1.969
images/000358.png,2.791
images/000359.png,2.528
images/000360.png,2.754
images/000361.png,2.5
images/000362.png,3.298
images/000363.png,1.955
images/000364.png,2.559
images/000365.png,3.111
images/000366.png,3.3
images/000367.png,2.489
images/000368.png,1.429
images/000369.png,1.263
images/000370.png,1.358
images/000371.png,1.306
images/000372.png,1.079
images/000373.png,1.111
images/000374.png,1.22
images/000375.png,1.18
images/000376.png,0.952
images/000377.png,0.943
images/000378.png,0.925
images/000379.png,0.918
images/000380.png,1.094
images/000381.png,1.295
images/000382.png,1.434
images/000383.png,0.982
images/000384.png,1.031
images/000385.png,2.768
images/000386.png,2.709
images/000387.png,2.462
images/000388.png,2.242
images/000389.png,2.291
images/000390.png,2.116
images/000391.png,2.561
images/000392.png,2.063
images/000393.png,2.213
images/000394.png,2.074
images/000395.png,3.5
images/000396.png,2.182
images/000397.png,2.167
images/000398.png,2.706
images/000399.png,2.614
images/000400.png,2.613
images/000401.png,2.322
images/000402.png,3.754
images/000403.png,3.573
images/000404.png,3.744
images/000405.png,3.588
images/000406.png,4.175
images/000407.png,4.305
images/000408.png,3.629
images/000409.png,3.97
images/000410.png,3.468
images/000411.png,3.271
images/000412.png,2.901
images/000413.png,2.92
images/000414.png,2.709
images/000415.png,3.711
images/000416.png,3.356
images/000417.png,3.713
images/000418.png,3.44
images/000419.png,3.422
images/000420.png,3.709
images/000421.png,3.5
images/000422.png,3.686
images/000423.png,3.918
images/000424.png,4.153
images/000425.png,2.849
images/000426.png,2.875
images/000427.png,2.729
images/000428.png,2.596
images/000429.png,2.545
images/000430.png,2.356
images/000431.png,2.184
images/000432.png,2.292
images/000433.png,1.921
images/000434.png,1.793
images/000435.png,1.875
images/000436.png,1.388
images/000437.png,1.5
images/000438.png,1.406
images/000439.png,1.2
images/000440.png,1.448
images/000441.png,1.448
images/000442.png,2.455
images/000443.png,2.0
images/000444.png,1.737
images/000445.png,1.856
images/000446.png,1.826
images/000447.png,2.279
